Column1;energy;valence;spotify_id;name;artists;duration
98815;0.966;0.623;0mhXos9rluElOYmD5BRMtV;乱舞のメロディ;SID;232667.0
98820;0.77;0.529;1dsh4buvcBs2u7YtHy29c7;ないものねだり;KANA-BOON;262693.0
98832;0.927;0.572;6oAtpBk23J0z80G1tYZolL;透明だった世界;Motohiro Hata;232893.0
98845;0.0546;0.23;1BPmVDqR4cX9aFC0Qx0eWn;My One And Only Love;John Coltrane,Johnny Hartman;296667.0
98867;0.981;0.307;3RAFcUBrCNaboRXoP3S5t1;Psychosocial;Slipknot;284120.0
98876;0.88;0.769;37ZtpRBkHcaq6hHy0X98zn;I CAN'T STOP ME;TWICE;205493.0
98897;0.214;0.348;6gREYnl1rgTBE06YIDZheT;Don't You Want Me;Bahamas,The Weather Station;199427.0
98906;0.875;0.677;3ear11tYbMEmNDm2lxZTqL;Lola Montez;Volbeat;267680.0
98909;0.701;0.527;3Cq4jRxYpWHHgQGOaGZcMj;MALA SANTA;Becky G;173834.0
98917;0.355;0.465;0HFxZvViHzxYpavybvKVq9;Dos Oruguitas;Sebastian Yatra;214613.0
98925;0.162;0.374;4CD6Jf096kKD8F0eHK8yCw;Cello Concerto No.1, Op.107: 1. Allegretto;Dmitri Shostakovich,Heinrich Schiff,Bavarian Radio Symphony Orchestra,Maxim Shostakovich;359667.0
98930;0.348;0.227;2dXAmfTnWAzuBakuyMNoMu;Curls;Bibio;197933.0
98941;0.418;0.158;2syS6ElFit3awJSr6NE3Rd;Neeye;Vineeth Sreenivasan,Haritha Balakrishnan,Arun Muraleedharan;259765.0
98958;0.559;0.338;3wlLknnMtD8yZ0pCtCeeK4;Angel Baby;Troye Sivan;220780.0
98965;0.891;0.628;7clyJIrLkEbXUDwj1tC9zz;Blood // Water;grandson;214520.0
98972;0.231;0.157;7Bl1GdYbcJ0QSffErVWOnv;Sit Around The Fire;Jon Hopkins,Ram Dass,East Forest;502705.0
